commodity|prediction_date|date|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|yhat|sell|buy
oil|2020-10-13|2015-08-29|54.26678261022436|41.25445071342492|52.271572747400874|54.26678261022436|54.26678261022436|-7.294728481151775|-7.294728481151775|-7.294728481151775|46.97205412907259|54.88515138477092|39.191728177753674
oil|2020-10-13|2015-08-30|54.250168459704554|41.68220480894319|52.50275350186594|54.250168459704554|54.250168459704554|-7.2516264125175764|-7.2516264125175764|-7.2516264125175764|46.99854204718698|55.12789117695924|39.59809456849603
oil|2020-10-13|2015-08-31|54.23355430918474|41.5908938857349|52.475559341071126|54.23355430918474|54.23355430918474|-7.211487148592905|-7.211487148592905|-7.211487148592905|47.02206716059183|55.09933730812468|39.511349191448154
oil|2020-10-13|2015-09-01|54.21694015866493|41.9720521682608|52.45250731709348|54.21694015866493|54.21694015866493|-7.148511331866354|-7.148511331866354|-7.148511331866354|47.06842882679858|55.07513268294815|39.873449559847764
oil|2020-10-13|2015-09-02|54.20032600814512|41.89202447250899|52.24597390182197|54.20032600814512|54.20032600814512|-7.0907905023845075|-7.0907905023845075|-7.0907905023845075|47.10953550576061|54.85827259691307|39.79742324888354
oil|2020-10-13|2015-09-03|54.18371185762531|41.851382315234964|52.53099286187389|54.18371185762531|54.18371185762531|-7.1178864052190844|-7.1178864052190844|-7.1178864052190844|47.06582545240623|55.15754250496759|39.75881319947322
oil|2020-10-13|2015-09-04|54.1670977071055|41.33261484770369|52.30007959360253|54.1670977071055|54.1670977071055|-7.114263028879541|-7.114263028879541|-7.114263028879541|47.052834678225956|54.915083573282665|39.2659841053185
oil|2020-10-13|2015-09-05|54.15048355658569|41.679513358282485|52.18703607883096|54.15048355658569|54.15048355658569|-7.15292709770288|-7.15292709770288|-7.15292709770288|46.99755645888281|54.79638788277251|39.59553769036836
oil|2020-10-13|2015-09-06|54.13386940606588|41.65053772794246|52.05836228942968|54.13386940606587|54.13386940606587|-7.168555171832432|-7.168555171832432|-7.168555171832432|46.965314234233446|54.661280403901166|39.56801084154533
oil|2020-10-13|2015-09-07|54.11725525554606|41.662990661783226|52.41918098706676|54.11725525554606|54.11725525554606|-7.190089208446341|-7.190089208446341|-7.190089208446341|46.927166047099725|55.0401400364201|39.57984112869406
oil|2020-10-13|2015-09-08|54.100641105026256|41.437434192203376|52.434928291494785|54.100641105026256|54.100641105026256|-7.190226548567328|-7.190226548567328|-7.190226548567328|46.91041455645893|55.05667470606953|39.365562482593205
oil|2020-10-13|2015-09-09|54.08402695450644|41.60359518622968|52.55486775264703|54.08402695450644|54.08402695450644|-7.195573842832542|-7.195573842832542|-7.195573842832542|46.8884531116739|55.182611140279384|39.5234154269182
oil|2020-10-13|2015-09-10|54.067412803986635|41.53356039266458|52.344441501738956|54.067412803986635|54.067412803986635|-7.284262353742772|-7.284262353742772|-7.284262353742772|46.783150450243866|54.961663576825906|39.456882373031355
oil|2020-10-13|2015-09-11|54.05079865346682|41.4607608779968|52.09160095082717|54.05079865346683|54.05079865346683|-7.339413993767559|-7.339413993767559|-7.339413993767559|46.71138465969926|54.69618099836853|39.387722834096955
oil|2020-10-13|2015-09-12|54.034184502947014|40.95111646473626|51.692895024724976|54.034184502947014|54.034184502947014|-7.432812975940324|-7.432812975940324|-7.432812975940324|46.60137152700669|54.27753977596123|38.903560641499446
oil|2020-10-13|2015-09-13|54.01757035242721|40.79798411252264|51.634116816673725|54.01757035242721|54.01757035242721|-7.49806046903131|-7.49806046903131|-7.49806046903131|46.5195098833959|54.21582265750742|38.75808490689651
oil|2020-10-13|2015-09-14|54.00095620190739|41.01196195307792|52.08984826339724|54.00095620190739|54.00095620190739|-7.563193453848313|-7.563193453848313|-7.563193453848313|46.43776274805908|54.69434067656711|38.961363855424025
oil|2020-10-13|2015-09-15|53.984342051387586|41.050287155250636|51.83819466863676|53.984342051387586|53.984342051387586|-7.60019320881856|-7.60019320881856|-7.60019320881856|46.384148842569026|54.4301044020686|38.9977727974881
oil|2020-10-13|2015-09-16|53.96772790086777|41.213965154520736|51.844529504961436|53.96772790086777|53.96772790086777|-7.635152536006962|-7.635152536006962|-7.635152536006962|46.33257536486081|54.43675598020951|39.1532668967947
oil|2020-10-13|2015-09-17|53.951113750347965|40.928846358507684|51.625389010795374|53.951113750347965|53.951113750347965|-7.745898906053288|-7.745898906053288|-7.745898906053288|46.20521484429467|54.206658461335145|38.8824040405823
oil|2020-10-13|2015-09-18|53.93449959982815|41.16740052372921|51.43728540973064|53.93449959982815|53.93449959982815|-7.815462770755368|-7.815462770755368|-7.815462770755368|46.11903682907278|54.00914968021718|39.109030497542754
oil|2020-10-13|2015-09-19|53.917885449308336|40.57531234152603|50.93246528630091|53.917885449308336|53.917885449308336|-7.915745958735824|-7.915745958735824|-7.915745958735824|46.00213949057251|53.479088550615955|38.546546724449726
oil|2020-10-13|2015-09-20|53.90127129878853|40.65565326845188|51.33043266850331|53.90127129878853|53.90127129878853|-7.980667731497622|-7.980667731497622|-7.980667731497622|45.92060356729091|53.89695430192848|38.622870605029284
oil|2020-10-13|2015-09-21|53.884657148268715|40.18777841934588|51.29139092303555|53.884657148268715|53.884657148268715|-8.038770020995646|-8.038770020995646|-8.038770020995646|45.84588712727307|53.85596046918733|38.178389498378586
oil|2020-10-13|2015-09-22|53.86804299774891|40.14539501785879|51.32330920688959|53.86804299774891|53.86804299774891|-8.062707730055353|-8.062707730055353|-8.062707730055353|45.80533526769356|53.88947466723407|38.13812526696585
oil|2020-10-13|2015-09-23|53.851428847229094|40.27869069739524|50.940212518595665|53.851428847229094|53.851428847229094|-8.079393774343272|-8.079393774343272|-8.079393774343272|45.77203507288582|53.48722314452545|38.26475616252548
