ds|trend|yhat_lower|yhat_upper|trend_lower|trend_upper|additive_terms|additive_terms_lower|additive_terms_upper|dollarindex|dollarindex_lower|dollarindex_upper|extra_regressors_additive|extra_regressors_additive_lower|extra_regressors_additive_upper|weekly|weekly_lower|weekly_upper|multiplicative_terms|multiplicative_terms_lower|multiplicative_terms_upper|yhat
2021-06-17|39.39672965262619|29.72520889619448|40.63786421128602|39.39672965262619|39.39672965262619|-4.301137738891368|-4.301137738891368|-4.301137738891368|-4.228587608844535|-4.228587608844535|-4.228587608844535|-4.228587608844535|-4.228587608844535|-4.228587608844535|-0.07255013004683354|-0.07255013004683354|-0.07255013004683354|0.0|0.0|0.0|35.09559191373482
2021-06-18|39.33508970079735|29.64881497285663|40.372920930663064|39.33508970079735|39.33508970079735|-4.251847791950202|-4.251847791950202|-4.251847791950202|-3.853869256617208|-3.853869256617208|-3.853869256617208|-3.853869256617208|-3.853869256617208|-3.853869256617208|-0.3979785353329937|-0.3979785353329937|-0.3979785353329937|0.0|0.0|0.0|35.08324190884714
2021-06-19|39.2734497489685|30.112169360185774|41.307462859898166|39.2734497489685|39.2734497489685|-3.7652773061791103|-3.7652773061791103|-3.7652773061791103|-3.607305066134481|-3.607305066134481|-3.607305066134481|-3.607305066134481|-3.607305066134481|-3.607305066134481|-0.157972240044629|-0.157972240044629|-0.157972240044629|0.0|0.0|0.0|35.508172442789395
2021-06-20|39.21180979713965|30.5582631714814|41.6627053929647|39.21180979713965|39.21180979713965|-3.2793402338038824|-3.2793402338038824|-3.2793402338038824|-3.3604636334764133|-3.3604636334764133|-3.3604636334764133|-3.3604636334764133|-3.3604636334764133|-3.3604636334764133|0.08112339967253084|0.08112339967253084|0.08112339967253084|0.0|0.0|0.0|35.93246956333577
2021-06-21|39.150169845310806|31.000522940409244|41.36263290837413|39.150169845310806|39.150169845310806|-2.7699689655056026|-2.7699689655056026|-2.7699689655056026|-3.069835957748892|-3.069835957748892|-3.069835957748892|-3.069835957748892|-3.069835957748892|-3.069835957748892|0.29986699224328994|0.29986699224328994|0.29986699224328994|0.0|0.0|0.0|36.3802008798052
2021-06-22|39.08852989348196|31.008139557011418|41.84726205955877|39.08852989348196|39.08852989348196|-2.7506958502698473|-2.7506958502698473|-2.7506958502698473|-2.88711341691231|-2.88711341691231|-2.88711341691231|-2.88711341691231|-2.88711341691231|-2.88711341691231|0.13641756664246182|0.13641756664246182|0.13641756664246182|0.0|0.0|0.0|36.33783404321211
2021-06-23|39.02688994165312|31.210584587188777|41.96489778589246|39.02688994165312|39.02688994165312|-2.4656007936369866|-2.4656007936369866|-2.4656007936369866|-2.5766937405033534|-2.5766937405033534|-2.5766937405033534|-2.5766937405033534|-2.5766937405033534|-2.5766937405033534|0.11109294686636687|0.11109294686636687|0.11109294686636687|0.0|0.0|0.0|36.56128914801613
2021-06-24|38.96524998982427|31.109513447821953|42.09018225729177|38.96524998982427|38.96524998982427|-2.3382330106681835|-2.3382330106681835|-2.3382330106681835|-2.265682880621225|-2.265682880621225|-2.265682880621225|-2.265682880621225|-2.265682880621225|-2.265682880621225|-0.07255013004695879|-0.07255013004695879|-0.07255013004695879|0.0|0.0|0.0|36.62701697915609
2021-06-25|38.90361003799542|31.00026709449805|42.27661153070906|38.90361003799542|38.90361003799542|-2.288943063727178|-2.288943063727178|-2.288943063727178|-1.8909645283940357|-1.8909645283940357|-1.8909645283940357|-1.8909645283940357|-1.8909645283940357|-1.8909645283940357|-0.39797853533314226|-0.39797853533314226|-0.39797853533314226|0.0|0.0|0.0|36.614666974268246
2021-06-26|38.841970086166576|31.886024891319988|41.99313699846433|38.841970086166576|38.841970086166576|-1.8023725779555235|-1.8023725779555235|-1.8023725779555235|-1.6444003379111711|-1.6444003379111711|-1.6444003379111711|-1.6444003379111711|-1.6444003379111711|-1.6444003379111711|-0.15797224004435215|-0.15797224004435215|-0.15797224004435215|0.0|0.0|0.0|37.03959750821105
2021-06-27|38.780330134337724|32.055882852525315|42.85899683532554|38.780330134337724|38.780330134337724|-1.3164355055805368|-1.3164355055805368|-1.3164355055805368|-1.397558905253378|-1.397558905253378|-1.397558905253378|-1.397558905253378|-1.397558905253378|-1.397558905253378|0.0811233996728409|0.0811233996728409|0.0811233996728409|0.0|0.0|0.0|37.46389462875719
2021-06-28|38.71869018250888|32.48177001290806|43.43007795248564|38.71869018250888|38.71869018250888|-0.8070642372819223|-0.8070642372819223|-0.8070642372819223|-1.1069312295255822|-1.1069312295255822|-1.1069312295255822|-1.1069312295255822|-1.1069312295255822|-1.1069312295255822|0.2998669922436599|0.2998669922436599|0.2998669922436599|0.0|0.0|0.0|37.91162594522696
2021-06-29|38.657050232455276|31.720288938983902|42.61202440871061|38.657050232455276|38.657050232455276|-1.028819265843519|-1.028819265843519|-1.028819265843519|-1.165236832486431|-1.165236832486431|-1.165236832486431|-1.165236832486431|-1.165236832486431|-1.165236832486431|0.13641756664291216|0.13641756664291216|0.13641756664291216|0.0|0.0|0.0|37.62823096661176
2021-06-30|38.59541028240167|32.469984383929315|43.145740374132274|38.59541028240167|38.59541028240167|-0.9847523530079344|-0.9847523530079344|-0.9847523530079344|-1.0958452998745865|-1.0958452998745865|-1.0958452998745865|-1.0958452998745865|-1.0958452998745865|-1.0958452998745865|0.11109294686665218|0.11109294686665218|0.11109294686665218|0.0|0.0|0.0|37.61065792939374
2021-07-01|38.53377033234806|32.29395710384003|42.81738892218525|38.53377033234806|38.53377033234806|-1.0984127138367912|-1.0984127138367912|-1.0984127138367912|-1.025862583789707|-1.025862583789707|-1.025862583789707|-1.025862583789707|-1.025862583789707|-1.025862583789707|-0.07255013004708402|-0.07255013004708402|-0.07255013004708402|0.0|0.0|0.0|37.43535761851127
2021-07-02|38.47213038229446|31.99540988670426|42.35167197554565|38.47213038229446|38.47213038229446|-1.2901509106932398|-1.2901509106932398|-1.2901509106932398|-0.8921723753599491|-0.8921723753599491|-0.8921723753599491|-0.8921723753599491|-0.8921723753599491|-0.8921723753599491|-0.39797853533329075|-0.39797853533329075|-0.39797853533329075|0.0|0.0|0.0|37.18197947160122
2021-07-03|38.410490432240856|31.861590867845358|42.91457831718132|38.410490432240856|38.410490432240856|-1.044608568719994|-1.044608568719994|-1.044608568719994|-0.8866363286744248|-0.8866363286744248|-0.8866363286744248|-0.8866363286744248|-0.8866363286744248|-0.8866363286744248|-0.1579722400455692|-0.1579722400455692|-0.1579722400455692|0.0|0.0|0.0|37.36588186352086
2021-07-04|38.34885048218725|32.169879713831904|43.15673376778222|38.34885048218725|38.34885048218725|-0.7996996401407589|-0.7996996401407589|-0.7996996401407589|-0.880823039813743|-0.880823039813743|-0.880823039813743|-0.880823039813743|-0.880823039813743|-0.880823039813743|0.08112339967298422|0.08112339967298422|0.08112339967298422|0.0|0.0|0.0|37.549150842046494
2021-07-05|38.28721053213365|32.11610757198548|43.12790610723008|38.28721053213365|38.28721053213365|-0.5313565156398165|-0.5313565156398165|-0.5313565156398165|-0.831223507883379|-0.831223507883379|-0.831223507883379|-0.831223507883379|-0.831223507883379|-0.831223507883379|0.2998669922435625|0.2998669922435625|0.2998669922435625|0.0|0.0|0.0|37.755854016493835
2021-07-06|38.22557058208004|32.036617915210506|43.09340747142279|38.22557058208004|38.22557058208004|-0.7531115442016791|-0.7531115442016791|-0.7531115442016791|-0.8895291108442278|-0.8895291108442278|-0.8895291108442278|-0.8895291108442278|-0.8895291108442278|-0.8895291108442278|0.13641756664254864|0.13641756664254864|0.13641756664254864|0.0|0.0|0.0|37.47245903787836
2021-07-07|38.163930632026435|32.56012633660523|42.94300806955404|38.163930632026435|38.163930632026435|-0.709044631365861|-0.709044631365861|-0.709044631365861|-0.8201375782323373|-0.8201375782323373|-0.8201375782323373|-0.8201375782323373|-0.8201375782323373|-0.8201375782323373|0.1110929468664763|0.1110929468664763|0.1110929468664763|0.0|0.0|0.0|37.45488600066057
